service,delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
CV,90.01040458679199,25,720,2024-06-13 17:14:20.425192,Laptop,82.9,82.67500535665494,24,0
CV,79.89311218261719,25,720,2024-06-13 17:14:20.516445,Laptop,82.1,82.65192013964652,24,0
CV,80.14488220214844,25,720,2024-06-13 17:14:20.612899,Laptop,82.2,82.6765410948806,24,0
CV,83.58097076416016,25,720,2024-06-13 17:14:20.711249,Laptop,87.6,82.65485647113402,24,0
CV,81.25066757202148,25,720,2024-06-13 17:14:20.815022,Laptop,82.5,82.68698411481523,24,0
CV,80.60073852539062,25,720,2024-06-13 17:14:20.917044,Laptop,83.2,82.64911895312288,24,0
CV,78.94301414489746,25,720,2024-06-13 17:14:21.014897,Laptop,82.5,82.67219188422548,24,0
CV,80.1539421081543,25,720,2024-06-13 17:14:21.113588,Laptop,83.2,82.64311114518402,24,0
CV,79.01334762573242,25,720,2024-06-13 17:14:21.210467,Laptop,85.2,82.69742713474984,24,0
CV,85.72101593017578,25,720,2024-06-13 17:14:21.319697,Laptop,85.8,82.68450236184253,24,0
CV,80.0175666809082,25,720,2024-06-13 17:14:21.419993,Laptop,82.8,82.71972605378672,24,0
CV,77.30484008789062,25,720,2024-06-13 17:14:21.521167,Laptop,81.6,82.70006860449803,24,0
CV,78.79209518432617,25,720,2024-06-13 17:14:21.621953,Laptop,83.6,82.70564640573367,24,0
CV,82.27849006652832,25,720,2024-06-13 17:14:21.723089,Laptop,85.7,82.63716476677419,24,0
CV,80.04021644592285,25,720,2024-06-13 17:14:21.823092,Laptop,85.5,82.70133405279599,24,0
CV,82.13448524475098,25,720,2024-06-13 17:14:21.919474,Laptop,83.3,82.6744770627053,24,0
CV,81.70104026794434,25,720,2024-06-13 17:14:22.016081,Laptop,82.6,82.71029047812813,24,0
CV,86.35902404785156,25,720,2024-06-13 17:14:22.125334,Laptop,84.9,82.68772126916356,24,0
CV,80.25741577148438,25,720,2024-06-13 17:14:22.226846,Laptop,82.5,82.71492226461679,24,0
CV,80.53159713745117,25,720,2024-06-13 17:14:22.322770,Laptop,82.9,82.66348117700943,24,0
CV,79.55741882324219,25,720,2024-06-13 17:14:22.419421,Laptop,82.5,82.69723056025697,24,0
CV,79.85663414001465,25,720,2024-06-13 17:14:22.513101,Laptop,82.4,82.66343203338621,24,0
CV,85.70504188537598,25,720,2024-06-13 17:14:22.611161,Laptop,90.9,82.70707157080712,25,0
CV,97.82719612121582,25,720,2024-06-13 17:14:22.723103,Laptop,86.5,82.67333447346539,24,0
CV,85.58487892150879,25,720,2024-06-13 17:14:22.826494,Laptop,85.0,82.72072121215696,24,0
CV,84.18035507202148,25,720,2024-06-13 17:14:22.927647,Laptop,82.4,82.68974844362145,24,0
CV,100.8145809173584,25,720,2024-06-13 17:14:23.050077,Laptop,93.5,82.71699858269791,25,0
CV,102.41436958312988,25,720,2024-06-13 17:14:23.169070,Laptop,95.1,82.73788462256715,25,0
CV,92.14949607849121,25,720,2024-06-13 17:14:23.283135,Laptop,85.9,82.7753197775563,24,0
CV,79.72884178161621,25,720,2024-06-13 17:14:23.373996,Laptop,83.7,82.75364743971552,24,0
CV,81.67076110839844,25,720,2024-06-13 17:14:23.471455,Laptop,85.7,82.77669579900652,24,0
CV,81.29310607910156,25,720,2024-06-13 17:14:23.566290,Laptop,84.4,82.75279971221494,24,0
